Brand Name,Model_Name,Model_Year,Emi Per Month,Down Payment,KMs Travelled,Owners,Fule Type,RTO Number,Location,Engine Displacement,Transmission Type,Original Price,Actual Price
Mahindra,KUV 100 NXT,2018,"8,758",Zero,"72,407",1,Diesel,TS-07,Hyderabad,8.0,Manual,"4,76,000","4,48,000"
Honda,City,2011,"8,328",Zero,"54,924",2,Petrol,AP-13,Hyderabad,1.5,Automatic,"4,26,000","4,26,000"
Renault,Kwid,2022,"10,674",Zero,"11,689",1,Petrol,TS-04,Hyderabad,,Manual,"5,88,000","5,46,000"
Maruti,Swift,2019,"11,847",Zero,"72,282",2,Petrol,TS-13,Hyderabad,,Automatic,"6,18,000","6,06,000"
Honda,City,2012,"8,485",Zero,"1,18,753",1,Petrol,AP-09,Hyderabad,1.5,Manual,"4,48,000","4,34,000"
Hyundai,i20,2013,"7,976",Zero,"72,875",2,Petrol,AP-09,Hyderabad.,,Manual,"4,08,000","4,08,000"
Maruti,Swift Dzire,2016,"12,375",Zero,"10,806",2,Petrol,TS-07,Hyderabad,,Manual,"6,75,000","6,33,000"
Tata,NEXON,2019,"14,975",Zero,"59,380",1,Diesel,TS-08,Hyderabad.,,Manual,"7,85,000","7,66,000"
Volkswagen,Polo,2020,"15,646",Zero,"28,883",2,Petrol,TS-08,Hyderabad,,Manual,"8,59,000","8,22,000"
Honda,Jazz,2015,"8,250",Zero,"85,589",2,Petrol,TS-13,Hyderabad,1.2,Manual,"4,59,000","4,22,000"
Renault,Kwid,2017,"5,728",Zero,"65,192",1,Petrol,TS-08,Hyderabad,,Manual,"3,09,000","2,93,000"
Volkswagen,Vento,2013,"7,351",Zero,"1,10,807",2,Diesel,AP-10,Hyderabad,,Manual,"3,95,000","3,76,000"
Maruti,Swift Dzire,2013,"8,837",Zero,"1,11,274",2,Diesel,AP-09,Hyderabad,,Manual,"4,84,000","4,52,000"
Maruti,Celerio,2016,"9,873",Zero,"38,417",1,Petrol,TS-09,Hyderabad,,Automatic,"5,28,000","5,05,000"
Hyundai,Elite i20,2016,"12,825",Zero,"48,640",1,Petrol,TS-08,Hyderabad,,Manual,"7,01,000","6,56,000"
Honda,Amaze,2014,"8,328",Zero,"71,861",2,Petrol,AP-28,Hyderabad,1.2,Manual,"4,63,000","4,26,000"
Ford,New Figo,2021,"15,171",Zero,"16,579",1,Petrol,TS-09,Hyderabad,,Automatic,"7,98,000","7,76,000"
Hyundai,VENUE,2019,"19,148",Zero,"20,778",1,Petrol,TS-13,Hyderabad,,Automatic,"10,38,000","10,06,000"
KIA,SELTOS,2019,"23,393",Zero,"78,396",1,Petrol,TS-15,Hyderabad,,Automatic,"13,47,000","12,29,000"
Hyundai,Elite i20,2017,"11,046",Zero,"34,803",1,Petrol,UP-16,Noida,,Manual,"5,93,000","5,65,000"
Honda,Brio,2013,"4,477",Zero,"67,656",2,Petrol,DL-1C,Noida,,Manual,"2,76,000","2,29,000"
Renault,Kwid,2017,"4,790",Zero,"67,522",3,Petrol,DL-8C,Delhi,,Automatic,"2,59,000","2,45,000"
Hyundai,Tucson New,2018,"22,137",Zero,"86,933",2,Petrol,UP-14,Noida,2.0,Manual,"15,83,000","11,63,000"
Hyundai,Santro Xing,2012,"3,675",Zero,"90,337",1,Petrol,UP-78,Ghaziabad,,Manual,"1,99,000","1,88,000"
Ford,Ecosport,2019,"13,900",Zero,"60,121",1,Diesel,DL-10,Noida,,Manual,"7,87,000","7,11,000"
Volkswagen,Polo,2010,"3,539",Zero,"1,02,254",2,Petrol,DL-8C,Noida,,Manual,"2,06,000","1,81,000"
Hyundai,Eon,2016,"4,516",Zero,"48,144",1,Petrol,HR-26,Delhi,,Manual,"2,51,000","2,31,000"
Tata,Tiago,2018,"7,801",Zero,"33,709",2,Petrol,UP-16,Noida,,Manual,"4,27,000","3,99,000"
Tata,NEXON,2020,"13,099",Zero,"23,358",1,Petrol,UP-14,Ghaziabad,,Manual,"6,89,000","6,70,000"
Maruti,Dzire,2018,"11,828",Zero,"41,309",1,Petrol,DL-8C,Noida,,Automatic,"6,67,000","6,05,000"
Skoda,Rapid,2016,"9,228",Zero,"66,054",1,Petrol,DL-7C,Noida,1.6,Manual,"4,72,000","4,72,000"
Renault,Kwid,2017,"4,829",Zero,"33,095",2,Petrol,UP-14,Noida,,Manual,"2,52,000","2,47,000"
Maruti,IGNIS,2022,"9,892",Zero,"18,254",1,Petrol,UP-14,Noida,,Manual,"5,41,000","5,06,000"
Honda,Brio,2013,"5,063",Zero,"21,682",2,Petrol,UP-16,Noida,,Manual,"2,82,000","2,59,000"
Renault,Duster,2019,"13,548",Zero,"1,00,579",2,Diesel,DL-7C,Noida,110.0,Manual,"8,02,000","6,93,000"
Tata,ALTROZ,2020,"13,333",Zero,"32,282",1,Petrol,UP-53,Noida,,Manual,"7,63,000","6,82,000"
Hyundai,i10,2011,"3,871",Zero,"99,880",1,Petrol,UP-32,Noida,,Manual,"1,98,000","1,98,000"
Skoda,Rapid,2020,"16,312",Zero,"30,761",1,Petrol,DL-10,Delhi,,Manual,"8,57,000","8,57,000"
Tata,Harrier,2019,"25,449",Zero,"52,860",2,Diesel,HR-26,Gurugram,,Manual,"14,18,000","13,37,000"
Hyundai,i10,2011,"5,474",Zero,"52,419",1,Petrol,MH-12,Pune,,Manual,"2,85,000","2,80,000"
Maruti,Ertiga,2019,"16,522",Zero,"43,576",1,Petrol,MH-47,Pune,,Automatic,"8,86,000","8,68,000"
Renault,Kwid,2019,"6,354",Zero,"35,747",2,Petrol,MH-14,Pune,,Manual,"3,25,000","3,25,000"
Hyundai,i10,2015,"7,937",Zero,"31,895",2,Petrol,MH-12,Pune,,Manual,"4,21,000","4,06,000"
Renault,Kwid,2015,"4,633",Zero,"65,333",1,Petrol,MH-14,Pune,,Manual,"2,37,000","2,37,000"
Maruti,Swift,2011,"6,471",Zero,"25,857",1,Petrol,MH-14,Pune,,Manual,"3,50,000","3,31,000"
Hyundai,i20,2012,"5,572",Zero,"76,823",2,Petrol,MH-02,Pune,,Manual,"3,07,000","2,85,000"
Honda,City,2015,"11,593",Zero,"1,04,239",2,CNG,MH-14,Pune,1.5,Manual,"6,10,000","5,93,000"
Volkswagen,Polo,2015,"8,524",Zero,"82,050",2,Diesel,MH-05,Pune,1.5,Manual,"4,54,000","4,36,000"
Maruti,Swift,2011,"5,552",Zero,"82,202",3,Petrol,MH-12,Pune,,Manual,"3,13,000","2,84,000"
Tata,Tiago,2017,"8,758",Zero,"39,662",2,Petrol,MH-03,Pune,,Automatic,"4,57,000","4,48,000"
Maruti,IGNIS,2020,"12,610",Zero,"16,569",2,Petrol,MH-01,Pune,,Automatic,"6,76,000","6,45,000"
Hyundai,i10,2010,"3,343",Zero,"42,872",2,Petrol,MH-03,Pune,,Manual,"1,87,000","1,71,000"
Hyundai,Creta,2016,"16,008",Zero,"63,731",1,Petrol,MH-14,Pune,,Manual,"8,81,000","8,41,000"
Hyundai,Verna,2013,"7,644",Zero,"99,583",1,Petrol,MH-01,Pune,,Manual,"3,91,000","3,91,000"
Volkswagen,Vento,2014,"7,683",Zero,"1,12,190",3,Diesel,MH-12,Pune,,Manual,"4,24,000","3,93,000"
Hyundai,i10,2010,"3,597",Zero,"77,431",1,Petrol,MH-12,Pune,,Manual,"2,09,000","1,84,000"
Maruti,Swift,2011,"5,728",Zero,"60,385",1,Petrol,MH-14,Pune,,Manual,"3,27,000","2,93,000"
Toyota,Etios Liva,2017,"8,270",Zero,"22,525",2,Petrol,MH-01,Pune,,Manual,"5,16,000","4,23,000"
Renault,Duster,2018,"13,705",Zero,"36,760",2,Diesel,MH-03,Pune,110.0,Manual,"7,40,000","7,01,000"
Honda,City,2010,"4,497",Zero,"73,789",3,Petrol,GJ-06,Ahmedabad,1.5,Manual,"2,46,000","2,30,000"
Maruti,Vitara Brezza,2021,"15,308",Zero,"60,962",1,Petrol,GJ-01,Ahmedabad,,Manual,"8,42,000","7,83,000"
Maruti,Swift,2015,"8,270",Zero,"90,581",2,Petrol,GJ-01,Ahmedabad,,Manual,"4,23,000","4,23,000"
Maruti,Zen Estilo,2010,"2,933",Zero,"82,224",1,Petrol,DL-3C,Ahmedabad,,Manual,"1,57,000","1,50,000"
Honda,City,2018,"14,858",Zero,"1,11,005",1,CNG,GJ-01,Ahmedabad,1.5,Manual,"8,02,000","7,60,000"
Maruti,Ciaz,2018,"12,610",Zero,"70,248",1,Petrol,GJ-03,Ahmedabad,,Manual,"7,02,000","6,45,000"
Mahindra,XUV500,2019,"24,192",Zero,"67,102",1,Diesel,GJ-01,Ahmedabad,7.0,Automatic,"13,47,000","12,71,000"
Tata,TIGOR,2019,"10,342",Zero,"88,143",1,CNG,GJ-01,Ahmedabad,,Manual,"5,41,000","5,29,000"
Maruti,Eeco,2018,"9,149",Zero,"57,011",1,CNG,GJ-01,Ahmedabad,5.0,Manual,"4,73,000","4,68,000"
Hyundai,Grand i10,2019,"10,401",Zero,"50,612",1,CNG,GJ-18,Ahmedabad,,Manual,"5,82,000","5,32,000"
Maruti,Swift,2020,"11,476",Zero,"57,109",1,Petrol,GJ-27,Ahmedabad,,Manual,"5,98,000","5,87,000"
Maruti,Alto 800,2017,"5,670",Zero,"89,127",2,CNG,GJ-01,Ahmedabad,,Manual,"2,98,000","2,90,000"
KIA,SONET,2021,"23,317",Zero,"76,273",1,Diesel,GJ-27,Ahmedabad,,Automatic,"12,69,000","12,25,000"
