Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Apartment,1.153,1715,6724,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,1.153,1715,6724,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,1.041,1555,6692,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,1.041,1555,6692,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,0.888,1320,6727,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,0.888,1320,6727,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,0.747,1095,6823,Under Construction,Bettadasanapura,Bangalore
2 BHK,Apartment,0.747,1095,6823,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,2.05,786,26082,Under Construction,Borivali West,Mumbai
2 BHK,Apartment,1.189,553,21500,Under Construction,Dahisar,Mumbai
1 BHK,Apartment,0.196,423,4640,Under Construction,Boisar,Mumbai
2 BHK,Apartment,0.508,1016,5000,Ready to move,Panvel,Mumbai
2 BHK,Apartment,0.497,641,7756,Under Construction,Dombivali,Mumbai
1 BHK,Apartment,0.435,426,10211,Under Construction,Vasai,Mumbai
1 BHK,Apartment,0.22,249,8835,Under Construction,Badlapur West,Mumbai
3 BHK,Apartment,4.4,1100,40000,Under Construction,Andheri West,Mumbai
1 BHK,Apartment,0.185,330,5603,Under Construction,Rasayani,Mumbai
2 BHK,Apartment,1.45,567,25573,Ready to move,Borivali East,Mumbai
2 BHK,Apartment,0.593,658,9015,Under Construction,Kalyan West,Mumbai
3 BHK,Apartment,0.739,685,10795,Ready to move,Virar,Mumbai
1 BHK,Apartment,0.82,429,19114,Under Construction,Thane West,Mumbai
2 BHK,Apartment,1.373,572,24000,Under Construction,Mulund West,Mumbai
2 BHK,Apartment,0.78,740,10540,Under Construction,Nilje Gaon,Mumbai
2 BHK,Apartment,1.45,604,24000,Under Construction,Jogeshwari East,Mumbai
1 BHK,Apartment,0.28,386,7243,Ready to move,Taloja,Mumbai
3 BHK,Apartment,3.193,1076,29677,Under Construction,Andheri East,Mumbai
1 BHK,Apartment,1.39,450,30888,Under Construction,Powai,Mumbai
1 BHK,Apartment,0.58,720,8055,Ready to move,Ulwe,Mumbai
2 BHK,Apartment,0.242,528,4581,Ready to move,Karjat,Mumbai
2 BHK,Apartment,0.6,876,6848,Under Construction,Panvel,Mumbai
